"#Event name"  :  "Category"
"RT_SCTP_CREATE_ASSOCIATION_LS"  :  "firewall_cp"
"RT_SCTP_CTL_MSG"  :  "firewall_cp"
"RT_SCTP_CTL_MSG_COOKIE_ACK"  :  "firewall_cp"
"RT_SCTP_CTL_MSG_COOKIE_ECHO"  :  "firewall_cp"
"RT_SCTP_CTL_MSG_INIT"  :  "firewall_cp"
"RT_SCTP_CTL_MSG_INIT_ACK"  :  "firewall_cp"
"RT_SCTP_CTL_MSG_SHUTDOWN"  :  "firewall_cp"
"RT_SCTP_CTL_MSG_SHUTDOWN_ACK"  :  "firewall_cp"
"RT_SCTP_CTL_MSG_SHUTDOWN_CPL"  :  "firewall_cp"
"RT_SCTP_CTL_MSG_ABORT"  :  "firewall_cp"
"RT_SCTP_CTL_MSG_LS"  :  "firewall_cp"
"RT_SCTP_CTL_MSG_COOKIE_ACK_LS"  :  "firewall_cp"
"RT_SCTP_CTL_MSG_COOKIE_ECHO_LS"  :  "firewall_cp"
"RT_SCTP_CTL_MSG_INIT_LS"  :  "firewall_cp"
"RT_SCTP_CTL_MSG_INIT_ACK_LS"  :  "firewall_cp"
"RT_SCTP_CTL_MSG_SHUTDOWN_LS"  :  "firewall_cp"
"RT_SCTP_CTL_MSG_SHUTDOWN_ACK_LS"  :  "firewall_cp"
"RT_SCTP_CTL_MSG_SHUTDOWN_CPL_LS"  :  "firewall_cp"
"RT_SCTP_CTL_MSG_ABORT_LS"  :  "firewall_cp"
"RT_SCTP_DATA_MSG"  :  "firewall_cp"
"RT_SCTP_DATA_MSG_BAD_M3UA_HDR"  :  "firewall_cp"
"RT_SCTP_DATA_MSG_M3UA_SI"  :  "firewall_cp"
"RT_SCTP_DATA_MSG_LS"  :  "firewall_cp"
"RT_SCTP_DATA_MSG_BAD_M3UA_HDR_LS"  :  "firewall_cp"
"RT_SCTP_DATA_MSG_M3UA_SI_LS"  :  "firewall_cp"
"RT_SCTP_LOG_INFO"  :  "firewall_cp"
"RT_SCTP_PKT_INFO"  :  "firewall_cp"
"RT_SCTP_SCCP_RATE_LIMIT"  :  "firewall_cp"
"RT_SCTP_SHUTDOWN_ASSOCIATION"  :  "firewall_cp"
"RT_SCTP_SSP_RATE_LIMIT"  :  "firewall_cp"
"RT_SCTP_SST_RATE_LIMIT"  :  "firewall_cp"
"RT_SCTP_TIMEOUT_ASSOCIATION"  :  "firewall_cp"
"RT_SCTP_LOG_INFO_LS"  :  "firewall_cp"
"RT_SCTP_PKT_INFO_LS"  :  "firewall_cp"
"RT_SCTP_SCCP_RATE_LIMIT_LS"  :  "firewall_cp"
"RT_SCTP_SHUTDOWN_ASSOCIATION_LS"  :  "firewall_cp"
"RT_SCTP_SSP_RATE_LIMIT_LS"  :  "firewall_cp"
"RT_SCTP_SST_RATE_LIMIT_LS"  :  "firewall_cp"
"RT_SCTP_TIMEOUT_ASSOCIATION_LS"  :  "firewall_cp"
"IDP_APPDDOS_APP_ATTACK_EVENT"  :  "ips"
"IDP_APPDDOS_APP_STATE_EVENT"  :  "ips"
"IDP_APPDDOS_APP_ATTACK_EVENT_LS"  :  "ips"
"IDP_APPDDOS_APP_STATE_EVENT_LS"  :  "ips"
"IDP_ATTACK_LOG_EVENT"  :  "ips"
"IDP_ATTACK_LOG_EVENT_LS"  :  "ips"
"IDP_COMMIT_COMPLETED"  :  "ips_cp"
"IDP_COMMIT_COMPLETED_LS"  :  "ips_cp"
"IDP_COMMIT_FAILED"  :  "ips_cp"
"IDP_COMMIT_FAILED_LS"  :  "ips_cp"
"IDP_DAEMON_INIT_FAILED"  :  "ips_cp"
"IDP_DAEMON_INIT_FAILED_LS"  :  "ips_cp"
"IDP_INTERNAL_ERROR"  :  "ips_cp"
"IDP_INTERNAL_ERROR_LS"  :  "ips_cp"
"IDP_POLICY_COMPILATION_FAILED"  :  "ips_cp"
"IDP_POLICY_COMPILATION_FAILED_LS"  :  "ips_cp"
"IDP_POLICY_LOAD_FAILED"  :  "ips_cp"
"IDP_POLICY_LOAD_FAILED_LS"  :  "ips_cp"
"IDP_POLICY_LOAD_SUCCEEDED"  :  "ips_cp"
"IDP_POLICY_LOAD_SUCCEEDED_LS"  :  "ips_cp"
"IDP_POLICY_UNLOAD_FAILED"  :  "ips_cp"
"IDP_POLICY_UNLOAD_FAILED_LS"  :  "ips_cp"
"IDP_POLICY_UNLOAD_SUCCEEDED"  :  "ips_cp"
"IDP_POLICY_UNLOAD_SUCCEEDED_LS"  :  "ips_cp"
"IDP_SCHEDULEDUPDATE_START_FAILED"  :  "ips_cp"
"IDP_SCHEDULEDUPDATE_START_FAILED_LS"  :  "ips_cp"
"IDP_SCHEDULED_UPDATE_STARTED"  :  "ips_cp"
"IDP_SCHEDULED_UPDATE_STARTED_LS"  :  "ips_cp"
"IDP_SECURITY_INSTALL_RESULT"  :  "ips_cp"
"IDP_SECURITY_INSTALL_RESULT_LS"  :  "ips_cp"
"IDP_SESSION_LOG_EVENT"  :  "ips"
"IDP_SESSION_LOG_EVENT_LS"  :  "ips"
"IDP_SIGNATURE_LICENSE_EXPIRED"  :  "ips_cp"
"IDP_SIGNATURE_LICENSE_EXPIRED_LS"  :  "ips_cp"
"APPTRACK_SESSION_APP_UPDATE"  :  "firewall"
"APPTRACK_SESSION_APP_UPDATE_LS"  :  "firewall"
"APPTRACK_SESSION_CLOSE"  :  "firewall"
"APPTRACK_SESSION_CLOSE_LS"  :  "firewall"
"APPTRACK_SESSION_CREATE"  :  "firewall"
"APPTRACK_SESSION_CREATE_LS"  :  "firewall"
"APPTRACK_SESSION_VOL_UPDATE"  :  "firewall"
"APPTRACK_SESSION_VOL_UPDATE_LS"  :  "firewall"
"IDP_IGNORED_IPV6_ADDRESSES"  :  "ips_cp"
"IDP_IGNORED_IPV6_ADDRESSES_LS"  :  "ips_cp"
"KMD_VPN_UP_ALARM_USER"  :  "vpn"
"KMD_VPN_DFBIT_STATUS_MSG"  :  "vpn_cp"
"KMD_VPN_DOWN_ALARM_USER"  :  "vpn"
"KMD_VPN_PV_LIFETIME_CHANGED"  :  "vpn_cp"
"KMD_VPN_PV_PHASE1"  :  "vpn_cp"
"KMD_VPN_PV_PHASE2"  :  "vpn_cp"
"KMD_VPN_PV_PSK_CHANGED"  :  "vpn_cp"
"KMD_VPN_UP_ALARM_USER_LS"  :  "vpn"
"KMD_VPN_DFBIT_STATUS_MSG_LS"  :  "vpn_cp"
"KMD_VPN_DOWN_ALARM_USER_LS"  :  "vpn"
"KMD_VPN_PV_LIFETIME_CHANGED_LS"  :  "vpn_cp"
"KMD_VPN_PV_PHASE1_LS"  :  "vpn_cp"
"KMD_VPN_PV_PHASE2_LS"  :  "vpn_cp"
"KMD_VPN_PV_PSK_CHANGED_LS"  :  "vpn_cp"
"DYNAMIC_VPN_AUTH_CONNECT_FAIL"  :  "vpn_cp"
"DYNAMIC_VPN_AUTH_FAIL"  :  "vpn_cp"
"DYNAMIC_VPN_AUTH_INVALID"  :  "vpn_cp"
"DYNAMIC_VPN_AUTH_MUL_CONN"  :  "vpn_cp"
"DYNAMIC_VPN_AUTH_NO_CONFIG"  :  "vpn_cp"
"DYNAMIC_VPN_AUTH_NO_LICENSE"  :  "vpn_cp"
"DYNAMIC_VPN_AUTH_OK"  :  "vpn_cp"
"DYNAMIC_VPN_CLIENT_CONFIG_WRITE"  :  "vpn_cp"
"DYNAMIC_VPN_CONN_DEL_NOTIFY"  :  "vpn_cp"
"DYNAMIC_VPN_CONN_DEL_REQUEST"  :  "vpn_cp"
"DYNAMIC_VPN_CONN_EST_NOTIFY"  :  "vpn_cp"
"DYNAMIC_VPN_INIT_SUCCESSFUL"  :  "vpn"
"DYNAMIC_VPN_LICENSE_ASSIGNED"  :  "vpn_cp"
"DYNAMIC_VPN_LICENSE_CHECK_FAILED"  :  "vpn_cp"
"DYNAMIC_VPN_LICENSE_CHECK_OK"  :  "vpn_cp"
"DYNAMIC_VPN_LICENSE_EXHAUSTED"  :  "vpn_cp"
"DYNAMIC_VPN_LICENSE_FREED"  :  "vpn_cp"
"DYNAMIC_VPN_LICENSE_FREE_FAILED"  :  "vpn_cp"
"DYNAMIC_VPN_LICENSE_FREE_OK"  :  "vpn_cp"
"DYNAMIC_VPN_LICENSE_GET_FAILED"  :  "vpn_cp"
"DYNAMIC_VPN_LICENSE_GET_OK"  :  "vpn_cp"
"DYNAMIC_VPN_LICENSE_INSTALLED"  :  "vpn_cp"
"DYNAMIC_VPN_LICENSE_REQUIRED"  :  "vpn_cp"
"DYNAMIC_VPN_LICENSE_UNINSTALLED"  :  "vpn_cp"
"RT_IPSEC_AUTH_FAIL"  :  "vpn"
"RT_IPSEC_BAD_SPI"  :  "vpn_cp"
"RT_IPSEC_DECRYPT_BAD_PAD"  :  "vpn_cp"
"RT_IPSEC_PV_DECRYPTION"  :  "vpn_cp"
"RT_IPSEC_PV_ENCRYPTION"  :  "vpn_cp"
"RT_IPSEC_PV_REPLAY"  :  "vpn_cp"
"RT_IPSEC_PV_SYM_KEYGEN"  :  "vpn_cp"
"RT_IPSEC_REPLA"  :  "vpn_cp"
"DYNAMIC_VPN_AUTH_CONNECT_FAIL_LS"  :  "vpn_cp"
"DYNAMIC_VPN_AUTH_FAIL_LS"  :  "vpn_cp"
"DYNAMIC_VPN_AUTH_INVALID_LS"  :  "vpn_cp"
"DYNAMIC_VPN_AUTH_MUL_CONN_LS"  :  "vpn_cp"
"DYNAMIC_VPN_AUTH_NO_CONFIG_LS"  :  "vpn_cp"
"DYNAMIC_VPN_AUTH_NO_LICENSE_LS"  :  "vpn_cp"
"DYNAMIC_VPN_AUTH_OK_LS"  :  "vpn_cp"
"DYNAMIC_VPN_CLIENT_CONFIG_WRITE_LS"  :  "vpn_cp"
"DYNAMIC_VPN_CONN_DEL_NOTIFY_LS"  :  "vpn_cp"
"DYNAMIC_VPN_CONN_DEL_REQUEST_LS"  :  "vpn_cp"
"DYNAMIC_VPN_CONN_EST_NOTIFY_LS"  :  "vpn_cp"
"DYNAMIC_VPN_INIT_SUCCESSFUL_LS"  :  "vpn"
"DYNAMIC_VPN_LICENSE_ASSIGNED_LS"  :  "vpn_cp"
"DYNAMIC_VPN_LICENSE_CHECK_FAILED_LS"  :  "vpn_cp"
"DYNAMIC_VPN_LICENSE_CHECK_OK_LS"  :  "vpn_cp"
